,time,value,date
0,00:00:00,0,2016-04-21
1,00:15:00,0,2016-04-21
2,00:30:00,0,2016-04-21
3,00:45:00,0,2016-04-21
4,01:00:00,0,2016-04-21
5,01:15:00,0,2016-04-21
6,01:30:00,0,2016-04-21
7,01:45:00,0,2016-04-21
8,02:00:00,0,2016-04-21
9,02:15:00,0,2016-04-21
10,02:30:00,0,2016-04-21
11,02:45:00,0,2016-04-21
12,03:00:00,0,2016-04-21
13,03:15:00,0,2016-04-21
14,03:30:00,0,2016-04-21
15,03:45:00,0,2016-04-21
16,04:00:00,0,2016-04-21
17,04:15:00,0,2016-04-21
18,04:30:00,0,2016-04-21
19,04:45:00,0,2016-04-21
20,05:00:00,0,2016-04-21
21,05:15:00,0,2016-04-21
22,05:30:00,0,2016-04-21
23,05:45:00,0,2016-04-21
24,06:00:00,0,2016-04-21
25,06:15:00,0,2016-04-21
26,06:30:00,0,2016-04-21
27,06:45:00,0,2016-04-21
28,07:00:00,0,2016-04-21
29,07:15:00,0,2016-04-21
30,07:30:00,0,2016-04-21
31,07:45:00,0,2016-04-21
32,08:00:00,0,2016-04-21
33,08:15:00,0,2016-04-21
34,08:30:00,0,2016-04-21
35,08:45:00,0,2016-04-21
36,09:00:00,0,2016-04-21
37,09:15:00,0,2016-04-21
38,09:30:00,0,2016-04-21
39,09:45:00,0,2016-04-21
40,10:00:00,0,2016-04-21
41,10:15:00,909,2016-04-21
42,10:30:00,1529,2016-04-21
43,10:45:00,697,2016-04-21
44,11:00:00,93,2016-04-21
45,11:15:00,56,2016-04-21
46,11:30:00,0,2016-04-21
47,11:45:00,0,2016-04-21
48,12:00:00,134,2016-04-21
49,12:15:00,0,2016-04-21
50,12:30:00,44,2016-04-21
51,12:45:00,1393,2016-04-21
52,13:00:00,172,2016-04-21
53,13:15:00,0,2016-04-21
54,13:30:00,1296,2016-04-21
55,13:45:00,442,2016-04-21
56,14:00:00,33,2016-04-21
57,14:15:00,0,2016-04-21
58,14:30:00,48,2016-04-21
59,14:45:00,143,2016-04-21
60,15:00:00,355,2016-04-21
61,15:15:00,0,2016-04-21
62,15:30:00,0,2016-04-21
63,15:45:00,0,2016-04-21
64,16:00:00,273,2016-04-21
65,16:15:00,0,2016-04-21
66,16:30:00,0,2016-04-21
67,16:45:00,0,2016-04-21
68,17:00:00,76,2016-04-21
69,17:15:00,616,2016-04-21
70,17:30:00,17,2016-04-21
71,17:45:00,1254,2016-04-21
72,18:00:00,501,2016-04-21
73,18:15:00,12,2016-04-21
74,18:30:00,0,2016-04-21
75,18:45:00,0,2016-04-21
76,19:00:00,771,2016-04-21
77,19:15:00,1385,2016-04-21
78,19:30:00,12,2016-04-21
79,19:45:00,0,2016-04-21
80,20:00:00,0,2016-04-21
81,20:15:00,0,2016-04-21
82,20:30:00,0,2016-04-21
83,20:45:00,0,2016-04-21
84,21:00:00,0,2016-04-21
85,21:15:00,0,2016-04-21
86,21:30:00,0,2016-04-21
87,21:45:00,0,2016-04-21
88,22:00:00,0,2016-04-21
89,22:15:00,0,2016-04-21
90,22:30:00,0,2016-04-21
91,22:45:00,0,2016-04-21
92,23:00:00,0,2016-04-21
93,23:15:00,0,2016-04-21
94,23:30:00,11,2016-04-21
95,23:45:00,0,2016-04-21
